accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.49840256571769714,0.5880916714668274,0.7556556463241577,0.7088607549667358,0.6719720363616943,0.6625354886054993
0.6677316427230835,0.8552067875862122,0.5310012698173523,0.7088607549667358,0.7795031070709229,0.6170054078102112
0.7124600410461426,0.9167912006378174,0.4559418857097626,0.7088607549667358,0.8260869383811951,0.5996221303939819
0.7763578295707703,0.9353014230728149,0.4025457799434662,0.7088607549667358,0.8125,0.5902118682861328
0.7859424948692322,0.9675635099411011,0.36024290323257446,0.7088607549667358,0.8222049474716187,0.5811460018157959
0.8498402833938599,0.9690333604812622,0.32456281781196594,0.7088607549667358,0.8288043737411499,0.5845035314559937
0.8626198172569275,0.9836572408676147,0.28135430812835693,0.7088607549667358,0.8253105282783508,0.5828619599342346
0.9041533470153809,0.987593412399292,0.25905609130859375,0.7341772317886353,0.8225932121276855,0.5824515223503113
0.8977635502815247,0.9952914714813232,0.23037724196910858,0.7341772317886353,0.8307453393936157,0.5732825398445129
0.9073482155799866,0.9908320903778076,0.23094333708286285,0.7721518874168396,0.8288042545318604,0.5745168924331665
0.9073482155799866,0.9945690035820007,0.21101529896259308,0.746835470199585,0.8074533939361572,0.5510092377662659
0.9456868767738342,0.9974340200424194,0.18097679316997528,0.7088607549667358,0.8210403919219971,0.5540025234222412
0.9680511355400085,0.9984802603721619,0.1639687567949295,0.7215189933776855,0.8280279636383057,0.5566028356552124
0.9488818049430847,0.9989038109779358,0.15681399405002594,0.7721518874168396,0.8245341777801514,0.5515744686126709
0.9361022114753723,0.9964125156402588,0.16175009310245514,0.746835470199585,0.8117235898971558,0.5531827807426453
0.9648562073707581,0.9993273019790649,0.1236034408211708,0.746835470199585,0.8288043141365051,0.5073058009147644
0.9712460041046143,1.0,0.11768977344036102,0.7721518874168396,0.8202639818191528,0.5097329020500183
0.9840255379676819,0.9997508525848389,0.11258815973997116,0.7721518874168396,0.8121118545532227,0.5037258267402649
0.9808306694030762,0.9989535808563232,0.11296989768743515,0.7594936490058899,0.8039596080780029,0.49270099401474
0.9808306694030762,0.9999003410339355,0.09646852314472198,0.746835470199585,0.7845497131347656,0.5243489742279053
0.9840255379676819,0.9998006820678711,0.09164196252822876,0.6962025165557861,0.7864906787872314,0.5626081824302673
0.9872204661369324,0.9999003410339355,0.08818833529949188,0.7088607549667358,0.763198733329773,0.567147433757782
0.9840255379676819,0.9998505115509033,0.09194956719875336,0.7341772317886353,0.76902174949646,0.6050737500190735
0.9872204661369324,0.9992028474807739,0.09015686064958572,0.7341772317886353,0.7872670292854309,0.5243454575538635
0.9872204661369324,0.9998505115509033,0.07691136747598648,0.746835470199585,0.7744565010070801,0.6242521405220032
0.9872204661369324,0.9997010231018066,0.07675021886825562,0.3670886158943176,0.7577639818191528,1.8209093809127808
0.9904153347015381,0.9997508525848389,0.06809566169977188,0.6835442781448364,0.7767857313156128,0.7338244318962097
0.9968051314353943,1.0,0.0681871622800827,0.7215189933776855,0.7802795171737671,0.6822721362113953
0.9968051314353943,0.9999999403953552,0.05346636846661568,0.6582278609275818,0.7674689292907715,0.8349730968475342
